Optimizing ferry operations involves a balance between meeting demand, reducing emissions, and minimizing underutilized trips. Here are some strategies to consider:

1. **Demand Forecasting**: Use historical data to predict peak and off-peak times. This will help you schedule ferries more efficiently, reducing unnecessary trips during low-demand periods and ensuring adequate service during high-demand periods.

2. **Fleet Allocation**: Allocate more ferries to routes with higher demand. For the Aspöleden route, consider using both ferries (Yxlan and Aspö3) during peak hours, and just one during off-peak hours.

3. **Fuel Efficiency**: Consider using more fuel-efficient ferries or even electric ferries if possible. This can significantly reduce emissions.

4. **Optimized Schedules**: Adjust ferry departure times to better match demand. For example, if demand is highest at the start and end of the workday, schedule more ferries during these times.

Given the information provided, here's an optimized schedule for the Aspöleden route:

Optimized Schedule (CSV format):
```
Timestamp,Route
05:30,Karlskrona_Aspö
06:00,Aspö_Karlskrona
06:30,Karlskrona_Aspö
07:00,Aspö_Karlskrona
07:30,Karlskrona_Aspö
08:00,Aspö_Karlskrona
08:30,Karlskrona_Aspö
09:00,Aspö_Karlskrona
10:00,Karlskrona_Aspö
11:00,Aspö_Karlskrona
12:00,Karlskrona_Aspö
13:00,Aspö_Karlskrona
14:00,Karlskrona_Aspö
15:00,Aspö_Karlskrona
16:00,Karlskrona_Aspö
16:30,Aspö_Karlskrona
17:00,Karlskrona_Aspö
17:30,Aspö_Karlskrona
18:00,Karlskrona_Aspö
18:30,Aspö_Karlskrona
19
